PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40080042,COVID-19 Testing Equity in New York City During the First 2 Years of the Pandemic: Demographic Analysis of Free Testing Data.,2025,,,N/A
40079997,"Scientometric Mapping of the Flipped Classroom in Dental Education: Geospatial Dynamics, Emergent Patterns, and Networking.",2024,,,N/A
40079981,Assessing Relationship Between Goat and Sheep Farmers' Stress and Their Demographics: A Pilot Study.,2024,,,N/A
40079963,Factors affecting the impact of COVID-19 vaccination on post COVID-19 conditions among adults: A systematic literature review.,2025,,,N/A
40079888,Host Response Protein Biomarkers Indicative of Persistent Acute Kidney Injury in Critically Ill COVID-19 Patients.,2025,,,N/A
40079866,Correction to: Effects of Vitamin C Supplements on Clinical Outcomes and Hospitalization Duration for Patients with Coronavirus Disease 2019 (COVID-19): A Systematic Review and Meta-Analysis.,2025,,,N/A
40079835,"Doravirine/islatravir (100/0.75 mg) once-daily compared to bictegravir/emtricitabine/tenofovir alafenamide as initial HIV-1 treatment: 48-week results from a phase 3, randomized, controlled, double-blind, non-inferiority trial.",2025,"Asante-Appiah, Zhang, Nwoke, Klopfer, Eves, Squires, Correll, Fox, Pisculli","Merck & Co., Inc., Rahway, NJ, USA., Merck & Co., Inc., Rahway, NJ, USA., Merck & Co., Inc., Rahway, NJ, USA., Merck & Co., Inc., Rahway, NJ, USA., Merck & Co., Inc., Rahway, NJ, USA., Merck & Co., Inc., Rahway, NJ, USA., Merck & Co., Inc., Rahway, NJ, USA., Merck & Co., Inc., Rahway, NJ, USA., Merck & Co., Inc., Rahway, NJ, USA.",N/A
40079681,The impact of extended invitation intervals on stage distribution of screen-detected and interval cancer within the Dutch colorectal cancer screening program.,2025,,,N/A
40079650,"Management of diarrhoea in patients with stable ulcerative colitis with low FODMAP diet, amitriptyline, ondansetron or loperamide: the MODULATE RCT.",2025,,,N/A
40079494,Impact of a Recipe Kit Scheme (BRITE Box) on Cooking and Food-Related Behaviours of Children and Families: Exploring Parental/Carer Views.,2025,,,N/A
